trip_id,driver_id,city_id,pickup_area,dropoff_area,pickup_time,dropoff_time,distance_km,base_fare,surge_multiplier,final_fare,payment_method,trip_status,passenger_rating
89,34,2,IT Park,Suburb,2024-09-18 08:49:00,2024-09-18 10:35:00,16.7,280.88,1.0,280.88,Card,Completed,3
90,39,5,College,Market,2024-03-19 18:41:00,2024-03-19 19:05:00,4.78,88.96,1.0,88.96,Card,Completed,5
91,21,1,College,College,2024-11-17 10:28:00,2024-11-17 10:44:00,4.47,64.98,1.71,111.12,Cash,Completed,4
92,4,5,Airport,College,2024-07-07 19:04:00,2024-07-07 21:27:00,29.54,555.91,2.19,1217.44,Card,Completed,5
93,42,3,Railway Station,Bus Stand,2024-04-06 10:30:00,2024-04-06 12:57:00,23.31,435.01,1.0,435.01,Card,Cancelled,
94,3,1,Market,Airport,2024-05-06 17:28:00,2024-05-06 20:11:00,24.3,385.85,1.0,385.85,Wallet,Completed,4
95,5,3,Hospital,Railway Station,2024-06-17 07:43:00,2024-06-17 09:48:00,18.32,238.45,1.0,238.45,Card,Completed,3
96,43,2,IT Park,Bus Stand,2024-03-13 21:19:00,2024-03-14 00:51:00,43.59,723.06,1.0,723.06,Wallet,Completed,3
97,42,3,Hotel,Bus Stand,2024-06-17 19:42:00,2024-06-17 23:16:00,32.07,595.76,1.0,595.76,Wallet,Completed,5
98,2,2,City Mall,Railway Station,2024-07-04 10:13:00,2024-07-04 11:21:00,16.37,280.41,1.0,280.41,Wallet,No-show,
99,7,2,Hotel,City Mall,2024-09-16 18:53:00,2024-09-16 22:33:00,33.63,511.59,1.0,511.59,Card,Completed,5
100,12,4,Market,IT Park,2024-12-20 18:51:00,2024-12-20 22:56:00,40.77,683.69,1.85,1264.83,Wallet,No-show,
101,15,8,Hotel,Bus Stand,2024-09-30 08:51:00,2024-09-30 12:06:00,35.62,649.42,2.32,1506.65,Card,Completed,4
102,27,7,Bus Stand,Railway Station,2024-03-23 19:51:00,2024-03-23 22:04:00,27.8,499.96,2.02,1009.92,Wallet,Cancelled,
103,6,6,Airport,Hotel,2024-03-23 09:57:00,2024-03-23 12:28:00,23.83,420.56,2.67,1122.9,Cash,Cancelled,
104,26,3,City Mall,Airport,2024-09-14 11:24:00,2024-09-14 16:12:00,44.76,626.61,2.7,1691.85,Wallet,Completed,3
105,31,8,Bus Stand,Market,2024-12-22 19:48:00,2024-12-22 22:09:00,32.19,469.61,1.42,666.85,Card,Cancelled,
106,28,6,College,Market,2024-02-26 18:15:00,2024-02-26 19:46:00,14.6,166.18,1.0,166.18,Card,Completed,3
107,2,2,Hotel,City Mall,2024-11-19 15:15:00,2024-11-19 17:09:00,32.76,436.7,1.0,436.7,Cash,Completed,5
108,34,2,Airport,Hotel,2024-07-03 06:33:00,2024-07-03 08:45:00,25.17,435.22,1.0,435.22,Wallet,Completed,4
109,17,3,Hospital,City Mall,2024-01-09 11:04:00,2024-01-09 12:38:00,16.5,278.25,1.0,278.25,Cash,Cancelled,
110,23,3,Railway Station,College,2024-10-06 11:41:00,2024-10-06 12:35:00,9.12,157.17,1.0,157.17,Cash,Completed,3
111,19,8,Suburb,IT Park,2024-04-13 04:12:00,2024-04-13 08:26:00,40.03,541.4,1.9,1028.66,Wallet,Completed,3
112,50,5,Hospital,City Mall,2024-01-25 20:21:00,2024-01-25 21:26:00,13.38,232.74,1.0,232.74,Wallet,Completed,4
113,45,5,City Mall,Bus Stand,2024-09-11 11:51:00,2024-09-11 14:16:00,24.09,419.39,1.0,419.39,Wallet,Completed,5
114,21,1,Hospital,College,2024-02-22 06:42:00,2024-02-22 08:08:00,14.36,209.19,1.0,209.19,Cash,Completed,4
115,47,2,Bus Stand,City Mall,2024-06-29 16:27:00,2024-06-29 17:17:00,13.44,253.21,1.0,253.21,Cash,Completed,4
116,10,8,Airport,Market,2024-11-07 17:28:00,2024-11-07 17:42:00,3.01,34.73,1.0,34.73,Card,Completed,5
117,44,1,Airport,City Mall,2024-08-18 21:23:00,2024-08-18 22:58:00,20.81,241.71,1.85,447.16,Wallet,Completed,3
118,34,2,IT Park,College,2024-07-17 21:07:00,2024-07-17 22:12:00,12.89,168.63,1.0,168.63,Card,No-show,
119,8,6,Hospital,Hospital,2024-03-10 19:28:00,2024-03-10 20:25:00,9.01,150.53,1.0,150.53,Cash,No-show,
120,36,2,Bus Stand,Suburb,2024-10-04 09:19:00,2024-10-04 12:59:00,38.53,643.24,1.0,643.24,Cash,Cancelled,
121,13,4,Railway Station,Railway Station,2024-03-12 08:31:00,2024-03-12 08:47:00,2.64,40.74,1.0,40.74,Wallet,Completed,5
122,26,3,College,College,2024-09-02 15:49:00,2024-09-02 17:05:00,19.31,301.22,1.0,301.22,Card,Completed,3
123,23,3,Railway Station,Bus Stand,2024-03-06 20:49:00,2024-03-06 22:29:00,25.48,400.09,1.0,400.09,Card,Completed,3
124,20,5,IT Park,Suburb,2024-03-25 08:59:00,2024-03-25 12:33:00,32.36,445.54,1.0,445.54,Card,Cancelled,
125,18,3,Market,Hospital,2024-03-05 17:39:00,2024-03-05 19:18:00,24.71,371.16,2.71,1005.84,Card,Completed,5
126,3,1,Airport,College,2024-01-15 06:41:00,2024-01-15 09:09:00,35.04,459.63,1.0,459.63,Card,Completed,5
127,19,8,College,Hotel,2024-11-24 22:30:00,2024-11-24 23:31:00,12.15,212.12,1.0,212.12,Wallet,Completed,3
128,30,1,City Mall,Hospital,2024-04-14 11:09:00,2024-04-14 12:47:00,15.1,252.88,1.0,252.88,Card,No-show,
129,36,2,Hotel,Suburb,2024-02-24 10:29:00,2024-02-24 11:15:00,6.83,99.7,1.38,137.59,Card,Cancelled,
130,21,1,Railway Station,Hotel,2024-10-22 18:12:00,2024-10-22 21:14:00,34.7,520.02,1.0,520.02,Card,Completed,3
131,30,1,Bus Stand,Airport,2024-05-03 08:22:00,2024-05-03 08:45:00,3.62,47.97,1.0,47.97,Cash,Completed,4
132,28,6,Railway Station,Hotel,2024-03-09 20:46:00,2024-03-09 22:21:00,17.41,247.68,1.38,341.8,Card,Completed,4
133,29,6,Hospital,Bus Stand,2024-10-08 09:39:00,2024-10-08 12:10:00,31.1,371.66,1.0,371.66,Wallet,Cancelled,
134,49,5,Market,Bus Stand,2024-03-14 08:32:00,2024-03-14 10:31:00,18.96,214.67,2.37,508.77,Card,Completed,3
135,21,1,Market,IT Park,2024-11-09 10:25:00,2024-11-09 15:10:00,44.59,754.22,1.8,1357.6,Wallet,Completed,5
136,2,2,Market,College,2024-07-07 10:07:00,2024-07-07 14:33:00,44.13,691.5,1.0,691.5,Wallet,Completed,3
137,42,3,City Mall,Suburb,2024-10-23 16:46:00,2024-10-23 17:05:00,3.73,55.37,1.0,55.37,Cash,Completed,4
138,37,1,College,Airport,2024-12-24 07:01:00,2024-12-24 08:28:00,20.69,296.91,1.0,296.91,Card,Completed,5
139,34,2,Hospital,Bus Stand,2024-04-16 16:42:00,2024-04-16 19:14:00,22.31,312.67,1.0,312.67,Wallet,Completed,5
140,44,1,IT Park,Suburb,2024-12-14 17:44:00,2024-12-14 18:42:00,13.0,193.35,1.0,193.35,Wallet,Completed,4
141,21,1,Hotel,Hotel,2024-09-02 11:59:00,2024-09-02 15:08:00,42.15,707.0,1.0,707.0,Wallet,Completed,5
142,50,5,Suburb,Bus Stand,2024-03-15 09:18:00,2024-03-15 13:27:00,43.06,500.88,1.0,500.88,Wallet,Completed,3
143,36,2,Railway Station,Hotel,2024-12-22 09:06:00,2024-12-22 11:37:00,28.28,443.84,2.3,1020.83,Wallet,Completed,3
144,46,5,College,Suburb,2024-08-29 07:49:00,2024-08-29 08:19:00,7.48,140.0,1.0,140.0,Wallet,Completed,4
145,21,1,Hotel,City Mall,2024-05-26 17:58:00,2024-05-26 21:44:00,34.94,566.67,2.41,1365.67,Cash,Completed,3
146,26,3,Hospital,IT Park,2024-09-10 08:47:00,2024-09-10 11:20:00,43.35,798.0,1.0,798.0,Wallet,Completed,3
147,42,3,College,IT Park,2024-10-05 15:56:00,2024-10-05 18:52:00,42.33,753.83,1.0,753.83,Card,Completed,3
148,1,2,Bus Stand,Hospital,2024-06-21 18:36:00,2024-06-21 21:32:00,30.84,386.9,1.0,386.9,Cash,Completed,4
149,26,3,IT Park,Market,2024-12-08 07:08:00,2024-12-08 09:00:00,22.27,411.7,1.88,774.0,Card,Completed,4
150,1,2,IT Park,Railway Station,2024-05-13 17:44:00,2024-05-13 18:31:00,11.78,192.51,1.0,192.51,Wallet,Completed,5
151,24,8,Bus Stand,Suburb,2024-11-10 08:08:00,2024-11-10 09:55:00,22.3,326.47,1.0,326.47,Card,Completed,4
152,44,1,Bus Stand,Suburb,2024-11-01 20:05:00,2024-11-01 22:48:00,24.36,370.89,1.0,370.89,Card,Completed,5
153,35,4,College,City Mall,2024-03-17 08:54:00,2024-03-17 10:26:00,24.13,287.87,2.17,624.68,Card,Completed,3
154,27,7,Suburb,Market,2024-08-21 16:35:00,2024-08-21 18:45:00,21.61,377.21,1.0,377.21,Cash,Completed,3
155,3,1,Hotel,City Mall,2024-08-04 11:04:00,2024-08-04 13:58:00,25.04,287.51,1.0,287.51,Card,Completed,4
156,50,5,Hotel,Hotel,2024-11-24 22:41:00,2024-11-25 02:21:00,43.42,607.69,1.0,607.69,Cash,Cancelled,
157,44,1,Airport,Airport,2024-12-04 20:08:00,2024-12-04 22:48:00,29.93,412.5,2.11,870.38,Wallet,Completed,3
158,30,1,Railway Station,Airport,2024-12-10 18:27:00,2024-12-10 20:17:00,24.64,433.34,1.82,788.68,Wallet,Cancelled,
159,40,8,Airport,Hotel,2024-01-09 09:04:00,2024-01-09 09:39:00,5.89,66.37,1.0,66.37,Wallet,Completed,5
160,15,8,Market,Hospital,2024-10-03 08:55:00,2024-10-03 11:27:00,35.26,427.39,1.0,427.39,Card,Cancelled,
161,39,5,Bus Stand,Market,2024-12-10 19:15:00,2024-12-10 20:17:00,14.63,177.7,1.0,177.7,Card,Completed,3
162,41,1,Hospital,Hotel,2024-12-13 13:31:00,2024-12-13 13:51:00,3.54,48.69,1.0,48.69,Wallet,Completed,5
163,10,8,Bus Stand,Hotel,2024-06-02 12:48:00,2024-06-02 14:27:00,24.9,321.9,2.59,833.72,Wallet,Completed,3
164,36,2,Airport,IT Park,2024-09-28 07:15:00,2024-09-28 08:15:00,12.59,171.75,1.97,338.35,Wallet,Completed,3
165,44,1,College,Suburb,2024-11-05 16:55:00,2024-11-05 17:20:00,4.67,81.43,1.0,81.43,Wallet,Completed,3
166,20,5,Suburb,Hotel,2024-01-08 08:12:00,2024-01-08 11:56:00,43.35,517.54,1.0,517.54,Card,Completed,5
167,36,2,College,Hospital,2024-06-13 18:24:00,2024-06-13 20:47:00,21.78,352.61,1.84,648.8,Card,Completed,5
168,24,8,City Mall,Suburb,2024-06-09 12:36:00,2024-06-09 16:12:00,39.09,661.79,2.13,1409.61,Wallet,Completed,4
169,15,8,College,College,2024-07-13 16:15:00,2024-07-13 17:57:00,23.22,377.02,1.0,377.02,Card,Cancelled,
170,47,2,Bus Stand,Airport,2024-06-29 08:46:00,2024-06-29 11:42:00,25.27,315.18,1.0,315.18,Cash,No-show,
171,43,2,Market,Market,2024-01-25 18:26:00,2024-01-25 18:57:00,7.48,120.02,1.53,183.63,Wallet,Completed,3
172,43,2,Airport,Bus Stand,2024-09-06 01:34:00,2024-09-06 03:50:00,25.5,282.92,1.0,282.92,Wallet,Completed,4
173,12,4,Railway Station,Hospital,2024-02-24 21:33:00,2024-02-24 22:23:00,7.98,100.03,1.0,100.03,Wallet,Completed,4
174,30,1,Airport,Railway Station,2024-10-16 09:44:00,2024-10-16 10:49:00,11.32,186.47,1.0,186.47,Wallet,Cancelled,
175,25,2,Hospital,Market,2024-07-12 16:03:00,2024-07-12 17:53:00,29.2,485.38,1.0,485.38,Cash,Cancelled,
176,34,2,Bus Stand,Market,2024-01-22 08:57:00,2024-01-22 11:20:00,39.26,710.62,1.0,710.62,Cash,Completed,4
177,12,4,IT Park,City Mall,2024-06-10 01:13:00,2024-06-10 03:55:00,27.04,460.17,1.0,460.17,Card,Completed,3
178,16,5,Railway Station,Bus Stand,2024-10-17 19:24:00,2024-10-17 22:32:00,30.95,474.29,1.0,474.29,Wallet,Cancelled,
179,4,5,Airport,IT Park,2024-02-20 13:53:00,2024-02-20 14:20:00,4.81,76.2,1.0,76.2,Wallet,Completed,4
180,32,8,IT Park,Suburb,2024-04-26 11:24:00,2024-04-26 13:21:00,20.29,333.52,1.0,333.52,Cash,Completed,5
181,6,6,College,Hospital,2024-05-17 08:45:00,2024-05-17 11:34:00,35.6,435.54,1.0,435.54,Wallet,Completed,4
182,7,2,Market,Market,2024-03-08 07:27:00,2024-03-08 08:42:00,21.02,324.51,1.0,324.51,Wallet,Completed,3
183,25,2,City Mall,Hotel,2024-01-07 09:24:00,2024-01-07 13:30:00,35.39,594.51,1.0,594.51,Card,Completed,5
184,9,5,Hospital,IT Park,2024-05-17 10:31:00,2024-05-17 11:06:00,7.85,96.85,1.0,96.85,Card,Completed,3
185,47,2,College,Hospital,2024-11-16 14:39:00,2024-11-16 15:25:00,10.01,118.68,2.72,322.81,Wallet,Completed,4
186,42,3,IT Park,College,2024-10-31 07:20:00,2024-10-31 09:14:00,27.74,459.44,1.0,459.44,Card,Completed,4
187,16,5,City Mall,Bus Stand,2024-06-15 12:52:00,2024-06-15 15:21:00,35.69,496.81,1.0,496.81,Cash,No-show,
188,47,2,Hotel,College,2024-08-24 21:13:00,2024-08-24 23:23:00,20.57,274.21,1.0,274.21,Card,Cancelled,
189,41,1,Hotel,Bus Stand,2024-06-04 09:42:00,2024-06-04 10:23:00,8.21,118.1,1.0,118.1,Card,Completed,5
190,45,5,Railway Station,Suburb,2024-08-02 15:50:00,2024-08-02 20:26:00,43.63,724.83,1.0,724.83,Wallet,Completed,3
191,11,5,Hotel,Railway Station,2024-11-27 16:36:00,2024-11-27 20:12:00,44.29,727.23,1.0,727.23,Cash,Cancelled,
192,7,2,Market,Bus Stand,2024-05-12 08:47:00,2024-05-12 10:48:00,24.07,376.55,1.0,376.55,Card,Completed,5
193,23,3,Suburb,Bus Stand,2024-01-13 14:18:00,2024-01-13 15:36:00,19.59,366.21,2.71,992.43,Wallet,Completed,4
194,23,3,Railway Station,City Mall,2024-08-31 07:46:00,2024-08-31 09:50:00,31.81,431.07,2.52,1086.3,Card,Cancelled,
195,34,2,Hotel,Airport,2024-03-30 16:21:00,2024-03-30 18:08:00,25.85,482.56,1.91,921.69,Card,Completed,4
196,13,4,City Mall,Hospital,2024-08-18 16:24:00,2024-08-18 16:34:00,1.69,21.49,2.36,50.72,Wallet,Completed,5
197,13,4,Railway Station,Hospital,2024-08-22 07:42:00,2024-08-22 11:20:00,39.02,593.95,1.0,593.95,Wallet,Completed,5
198,30,1,Suburb,IT Park,2024-11-12 08:43:00,2024-11-12 10:45:00,32.21,430.96,1.0,430.96,Cash,Completed,3
199,12,4,City Mall,Bus Stand,2024-07-10 17:32:00,2024-07-10 19:03:00,18.4,290.19,1.0,290.19,Card,Completed,5
200,32,8,Hotel,Bus Stand,2024-05-27 07:20:00,2024-05-27 11:40:00,38.13,608.37,1.0,608.37,Card,Completed,3
201,42,3,Suburb,IT Park,2024-09-10 12:31:00,2024-09-10 14:13:00,19.58,346.94,1.0,346.94,Cash,Completed,3
202,18,3,Railway Station,Market,2024-04-25 15:10:00,2024-04-25 18:49:00,35.46,550.52,1.0,550.52,Cash,Completed,5
203,18,3,Railway Station,Suburb,2024-10-05 19:23:00,2024-10-05 21:29:00,25.08,427.72,1.0,427.72,Wallet,Completed,4
204,3,1,Market,Hospital,2024-08-18 09:55:00,2024-08-18 13:45:00,37.03,537.4,1.0,537.4,Card,Completed,5
